product_id,name,category,brand,price,stock_quantity,weight_kg,warehouse_location
1,UltraView 4K Monitor 27",Monitors,TechVision,399.99,45,6.5,Warehouse A
2,ProBook Laptop 15",Laptops,CompuTech,1299.99,23,2.1,Warehouse A
3,Wireless Mouse MX3,Accessories,PeriphPro,49.99,150,0.15,Warehouse B
4,Mechanical Keyboard RGB,Accessories,PeriphPro,129.99,80,1.2,Warehouse B
5,Noise-Canceling Headphones,Audio,SoundWave,249.99,62,0.3,Warehouse C
6,USB-C Hub 7-in-1,Accessories,ConnectPlus,69.99,200,0.25,Warehouse B
7,External SSD 1TB,Storage,DataStore,149.99,95,0.1,Warehouse C
8,Webcam 4K Pro,Accessories,VisionTech,179.99,55,0.4,Warehouse B
9,Gaming Chair ErgoMax,Furniture,ComfortZone,449.99,18,22.0,Warehouse D
10,Tablet Pro 12.9",Tablets,CompuTech,899.99,31,0.68,Warehouse A
11,Wireless Charger Qi,Accessories,PowerUp,39.99,180,0.2,Warehouse C
12,Portable Monitor 15.6",Monitors,TechVision,299.99,40,1.8,Warehouse A
13,Laptop Stand Aluminum,Accessories,ErgoLife,59.99,110,1.5,Warehouse B
14,Bluetooth Speaker,Audio,SoundWave,129.99,75,0.6,Warehouse C
15,Smart Watch Series 5,Wearables,TechTime,349.99,48,0.05,Warehouse C
16,Docking Station Dual Monitor,Accessories,ConnectPlus,199.99,35,1.1,Warehouse B
17,Graphics Tablet,Accessories,DrawMaster,189.99,28,0.8,Warehouse A
18,Ring Light LED,Photography,StudioPro,79.99,65,1.4,Warehouse D
19,Cable Management Kit,Accessories,OrganizeIt,29.99,250,0.5,Warehouse B
20,Ergonomic Mouse Vertical,Accessories,ErgoLife,69.99,90,0.2,Warehouse B
